VK_LBUTTON 0x01 ,Left mouse button
VK_UNDEFINED_0X3C 0x3C ,Undefined
VK_UNDEFINED_0X3D 0x3D ,Undefined
VK_UNDEFINED_0X3E 0x3E ,Undefined
VK_UNDEFINED_0X3F 0x3F ,Undefined
VK_UNDEFINED_0X40 0x40 ,Undefined
VK_A 0x41 ,A key
VK_B 0x42 ,B key
VK_C 0x43 ,C key
VK_D 0x44 ,D key
VK_E 0x45 ,E key
VK_F 0x46 ,F key
VK_G 0x47 ,G key
VK_H 0x48 ,H key
VK_I 0x49 ,I key
VK_J 0x4A ,J key
VK_K 0x4B ,K key
VK_L 0x4C ,L key
VK_M 0x4D ,M key
VK_N 0x4E ,N key
VK_O 0x4F ,O key
VK_P 0x50 ,P key
VK_Q 0x51 ,Q key
VK_R 0x52 ,R key
VK_S 0x53 ,S key
VK_T 0x54 ,T key
VK_U 0x55 ,U key
VK_V 0x56 ,V key
VK_W 0x57 ,W key
VK_X 0x58 ,X key
VK_Y 0x59 ,Y key
VK_Z 0x5A ,Z key
VK_LWIN 0x5B ,Left Windows key (Natural keyboard) 
VK_RWIN 0x5C ,Right Windows key (Natural keyboard)
VK_APPS 0x5D ,Applications key (Natural keyboard)
VK_RESERVED_0X5E 0x5E ,Reserved
VK_SLEEP 0x5F ,Computer Sleep key
VK_NUMPAD0 0x60 ,Numeric keypad 0 key
VK_NUMPAD1 0x61 ,Numeric keypad 1 key
VK_NUMPAD2 0x62 ,Numeric keypad 2 key
VK_NUMPAD3 0x63 ,Numeric keypad 3 key
VK_NUMPAD4 0x64 ,Numeric keypad 4 key
VK_NUMPAD5 0x65 ,Numeric keypad 5 key
VK_NUMPAD6 0x66 ,Numeric keypad 6 key
VK_NUMPAD7 0x67 ,Numeric keypad 7 key
VK_NUMPAD8 0x68 ,Numeric keypad 8 key
VK_NUMPAD9 0x69 ,Numeric keypad 9 key
VK_MULTIPLY 0x6A ,Multiply key
VK_ADD 0x6B ,Add key
VK_SEPARATOR 0x6C ,Separator key
VK_SUBTRACT 0x6D ,Subtract key
VK_DECIMAL 0x6E ,Decimal key
VK_DIVIDE 0x6F ,Divide key
VK_F1 0x70 ,F1 key
VK_F2 0x71 ,F2 key
VK_F3 0x72 ,F3 key
VK_F4 0x73 ,F4 key
VK_F5 0x74 ,F5 key
VK_F6 0x75 ,F6 key
VK_F7 0x76 ,F7 key
VK_F8 0x77 ,F8 key
VK_F9 0x78 ,F9 key
VK_F10 0x79 ,F10 key
VK_F11 0x7A ,F11 key
VK_F12 0x7B ,F12 key
VK_F13 0x7C ,F13 key
VK_F14 0x7D ,F14 key
VK_F15 0x7E ,F15 key
VK_F16 0x7F ,F16 key
VK_F17 0x80 ,F17 key
VK_F18 0x81 ,F18 key
VK_F19 0x82 ,F19 key
VK_F20 0x83 ,F20 key
VK_F21 0x84 ,F21 key
VK_F22 0x85 ,F22 key
VK_F23 0x86 ,F23 key
VK_F24 0x87 ,F24 key
VK_UNASSIGNED_0X88 0x88 ,Unassigned
VK_UNASSIGNED_0X89 0x89 ,Unassigned
VK_UNASSIGNED_0X8A 0x8A ,Unassigned
VK_UNASSIGNED_0X8B 0x8B ,Unassigned
VK_UNASSIGNED_0X8C 0x8C ,Unassigned
VK_UNASSIGNED_0X8D 0x8D ,Unassigned
VK_UNASSIGNED_0X8E 0x8E ,Unassigned
VK_UNASSIGNED_0X8F 0x8F ,Unassigned
VK_NUMLOCK 0x90 ,NUM LOCK key
VK_SCROLL 0x91 ,SCROLL LOCK key
VK_OEM_SPECIFIC_0X92 0x92 ,OEM specific
VK_OEM_SPECIFIC_0X93 0x93 ,OEM specific
VK_OEM_SPECIFIC_0X94 0x94 ,OEM specific
VK_OEM_SPECIFIC_0X95 0x95 ,OEM specific
VK_OEM_SPECIFIC_0X96 0x96 ,OEM specific
VK_UNASSIGNED_0X97 0x97 ,Unassigned
VK_UNASSIGNED_0X98 0x98 ,Unassigned
VK_UNASSIGNED_0X99 0x99 ,Unassigned
VK_UNASSIGNED_0X9A 0x9A ,Unassigned
VK_UNASSIGNED_0X9B 0x9B ,Unassigned
VK_UNASSIGNED_0X9C 0x9C ,Unassigned
VK_UNASSIGNED_0X9D 0x9D ,Unassigned
VK_UNASSIGNED_0X9E 0x9E ,Unassigned
VK_UNASSIGNED_0X9F 0x9F ,Unassigned
VK_LSHIFT 0xA0 ,Left SHIFT key
VK_RSHIFT 0xA1 ,Right SHIFT key
VK_LCONTROL 0xA2 ,Left CONTROL key
VK_RCONTROL 0xA3 ,Right CONTROL key
VK_LMENU 0xA4 ,Left MENU key
VK_RMENU 0xA5 ,Right MENU key
VK_BROWSER_BACK 0xA6 ,Browser Back key
VK_BROWSER_FORWARD 0xA7 ,Browser Forward key
VK_BROWSER_REFRESH 0xA8 ,Browser Refresh key
VK_BROWSER_STOP 0xA9 ,Browser Stop key
VK_BROWSER_SEARCH 0xAA ,Browser Search key 
VK_BROWSER_FAVORITES 0xAB ,Browser Favorites key
VK_BROWSER_HOME 0xAC ,Browser Start and Home key
VK_VOLUME_MUTE 0xAD ,Volume Mute key
VK_VOLUME_DOWN 0xAE ,Volume Down key
VK_VOLUME_UP 0xAF ,Volume Up key
VK_MEDIA_NEXT_TRACK 0xB0 ,Next Track key
VK_MEDIA_PREV_TRACK 0xB1 ,Previous Track key
VK_MEDIA_STOP 0xB2 ,Stop Media key
VK_MEDIA_PLAY_PAUSE 0xB3 ,Play/Pause Media key
VK_LAUNCH_MAIL 0xB4 ,Start Mail key
VK_LAUNCH_MEDIA_SELECT 0xB5 ,Select Media key
VK_LAUNCH_APP1 0xB6 ,Start Application 1 key
VK_LAUNCH_APP2 0xB7 ,Start Application 2 key
VK_RESERVED_0XB8 0xB8 ,Reserved
VK_RESERVED_0XB9 0xB9 ,Reserved
VK_OEM_1 0xBA ,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard the ';:' key 
VK_OEM_PLUS 0xBB ,For any country/region the '+' key
VK_OEM_COMMA 0xBC ,For any country/region the '\comma' key
VK_OEM_MINUS 0xBD ,For any country/region the '-' key
VK_OEM_PERIOD 0xBE ,For any country/region the '.' key
VK_OEM_2 0xBF ,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard the '/?' key 
VK_OEM_3 0xC0 ,Used for miscellaneous characters; it can vary by keyboard.  For the US standard keyboard the '`~' key 
VK_RESERVED_0XC1 0xC1 ,Reserved
VK_RESERVED_0XC2 0xC2 ,Reserved
VK_RESERVED_0XC3 0xC3 ,Reserved
VK_RESERVED_0XC4 0xC4 ,Reserved
VK_RESERVED_0XC5 0xC5 ,Reserved
VK_RESERVED_0XC6 0xC6 ,Reserved
VK_RESERVED_0XC7 0xC7 ,Reserved
VK_RESERVED_0XC8 0xC8 ,Reserved
VK_RESERVED_0XC9 0xC9 ,Reserved
VK_RESERVED_0XCA 0xCA ,Reserved
VK_RESERVED_0XCB 0xCB ,Reserved
VK_RESERVED_0XCC 0xCC ,Reserved
VK_RESERVED_0XCD 0xCD ,Reserved
VK_RESERVED_0XCE 0xCE ,Reserved
VK_RESERVED_0XCF 0xCF ,Reserved
VK_RESERVED_0XD0 0xD0 ,Reserved
VK_RESERVED_0XD1 0xD1 ,Reserved
VK_RESERVED_0XD2 0xD2 ,Reserved
VK_RESERVED_0XD3 0xD3 ,Reserved
VK_RESERVED_0XD4 0xD4 ,Reserved
VK_RESERVED_0XD5 0xD5 ,Reserved
VK_RESERVED_0XD6 0xD6 ,Reserved
VK_RESERVED_0XD7 0xD7 ,Reserved
VK_UNASSIGNED_0XD8 0xD8 ,Unassigned
VK_UNASSIGNED_0XD9 0xD9 ,Unassigned
VK_UNASSIGNED_0XDA 0xDA ,Unassigned
VK_OEM_4 0xDB ,Used for miscellaneous characters; it can vary by keyboard.  For the US standard keyboard the '[{' key
VK_OEM_5 0xDC ,Used for miscellaneous characters; it can vary by keyboard.  For the US standard keyboard the '\|' key
VK_OEM_6 0xDD ,Used for miscellaneous characters; it can vary by keyboard.  For the US standard keyboard the ']}' key
VK_OEM_7 0xDE ,Used for miscellaneous characters; it can vary by keyboard.  For the US standard keyboard the 'single-quote/double-quote' key
VK_OEM_8 0xDF ,Used for miscellaneous characters; it can vary by keyboard.
VK_RESERVED_0XE0 0xE0 ,Reserved
VK_OEM_0XE1 0xE1 ,OEM specific
VK_OEM_102 0xE2 ,Either the angle bracket key or the backslash key on the RT 102-key keyboard
VK_OEM_0XE3 0xE3 ,OEM specific
VK_OEM_0XE4 0xE4 ,OEM specific
VK_PROCESSKEY 0xE5 ,IME PROCESS key
VK_OEM_0XE6 0xE6 ,OEM specific
VK_PACKET 0xE7 ,Used to pass Unicode characters as if they were keystrokes. The VK_PACKET key is the low word of a 32-bit Virtual Key value used for non-keyboard input methods. For more information see Remark in KEYBDINPUT SendInput WM_KEYDOWN and WM_KEYUP
VK_OEM_0XE8 0xE8 ,Unassigned
VK_OEM_0XE9 0xE9 ,OEM specific
VK_OEM_0XEA 0xEA ,OEM specific
VK_OEM_0XEB 0xEB ,OEM specific
VK_OEM_0XEC 0xEC ,OEM specific
VK_OEM_0XED 0xED ,OEM specific
VK_OEM_0XEE 0xEE ,OEM specific
VK_OEM_0XEF 0xEF ,OEM specific
VK_OEM_0XF0 0xF0 ,OEM specific
VK_OEM_0XF1 0xF1 ,OEM specific
VK_OEM_0XF2 0xF2 ,OEM specific
VK_OEM_0XF3 0xF3 ,OEM specific
VK_OEM_0XF4 0xF4 ,OEM specific
VK_OEM_0XF5 0xF5 ,OEM specific
VK_ATTN 0xF6 ,Attn key
VK_CRSEL 0xF7 ,CrSel key
VK_EXSEL 0xF8 ,ExSel key
VK_EREOF 0xF9 ,Erase EOF key
VK_PLAY 0xFA ,Play key
VK_ZOOM 0xFB ,Zoom key
VK_NONAME 0xFC ,Reserved 
VK_PA1 0xFD ,PA1 key
VK_OEM_CLEAR 0xFE ,Clear key
